189.3046875,183.590163934426,206.272727272727
17.8108108108108,16.8142857142857,17.1410256410256
0.5,0.5,0.5
NaN,NaN,NaN
6,1.875,1.5
755.064516129032,790.691666666667,818.475
3642.27857142857,3709.80714285714,3460.9
5186.61428571429,5289.87857142857,5040.65
3536.50714285714,3602.31428571429,3626.04285714286
2036.46428571429,2063.63571428571,2077.60714285714
1622.22857142857,1693.59285714286,1753.52142857143
1677.60714285714,1823.45,1831.47142857143
2040.21428571429,2082.41428571429,2088.17142857143
2571.25,2447.05,2380.4
2535.26428571429,2513.92142857143,2439.13571428571
2808.37142857143,2831.66428571429,2635.99285714286
3109.38571428571,3020.03571428571,2858.17857142857
4044.52142857143,4083,3899.60714285714
4654,4790.19285714286,4665.52857142857
3374.88571428571,3453.63571428571,3465.56428571429
2410.17142857143,2417.42142857143,2476.33571428571
1956.45,1895.68571428571,2021.82142857143
1259.77142857143,1213.95,1358.50714285714
665.614285714286,634.392857142857,752.572463768116
NaN,NaN,NaN
